year,event,player,team,region,role,rating,agents,rounds
2021,Masters 3,NagZ,KRÜ,Americas,Flex,1.03,"jett,sage",186
2021,Masters 3,koldamenta,G2,Americas,Initiator,1.02,"sova,skye,killjoy",275
2021,Masters 3,russ,SUP,EMEA,Initiator,1.02,"sova,skye",166
2021,Masters 3,Turko,SUP,EMEA,Flex,1.02,"sage,skye",166
2021,Masters 3,Bunny,F4Q,Pacific,Duelist,1.01,"raze,jett",190
2021,Masters 3,AvovA,G2,Americas,Controller,1.01,"astra,sage,omen",275
2021,Masters 3,keznit,KRÜ,Americas,Duelist,1.00,"skye,raze,reyna",186
2021,Masters 3,starxo,ACE,EMEA,Flex,0.99,"sage,skye",213
2021,Masters 3,Redgar,GMB,EMEA,Flex,0.99,"astra,sage,sova",306
2021,Masters 3,Brave,SUP,EMEA,Controller,0.98,"omen,astra,viper",166
2021,Masters 3,Ethan,100T,Americas,Flex,0.98,"skye,omen",208
2021,Masters 3,pAura,SUP,EMEA,Sentinel,0.97,"killjoy,viper,cypher",166
2021,Masters 3,neth,CR,Pacific,Flex,0.96,"raze,sage,astra",118
2021,Masters 3,Mixwell,G2,Americas,Sentinel,0.95,"skye,killjoy,sage",275
2021,Masters 3,Medusa,CR,Pacific,Sentinel,0.95,cypher,64
2021,Masters 3,zombs,SEN,Americas,Controller,0.94,"astra,viper",243
2021,Masters 3,f0rsakeN,PRX,Pacific,Duelist,0.93,"jett,reyna",110
2021,Masters 3,krain,LBR,Pacific,Initiator,0.93,"sova,breach,skye",78
2021,Masters 3,d4v41,PRX,Pacific,Flex,0.92,"skye,sage,jett",110
2021,Masters 3,Esperanza,F4Q,Pacific,Flex,0.91,"sova,sage,viper",190
2021,Masters 3,JhoW,VKS,Americas,Sentinel,0.91,"sage,killjoy",131
2021,Masters 3,delz1k,KRÜ,Americas,Controller,0.91,"astra,brimstone,sage",186
2021,Masters 3,crow,ZETA,Pacific,Initiator,0.90,"breach,viper,sova",92
2021,Masters 3,Klaus,KRÜ,Americas,Initiator,0.90,"sova,killjoy,skye",186
2021,Masters 3,Bazzi,CR,Pacific,Initiator,0.89,"breach,sova",54
2021,Masters 3,Benkai,PRX,Pacific,Sentinel,0.88,"cypher,killjoy",110
2021,Masters 3,k1Ng,VS,Pacific,Sentinel,0.88,killjoy,129
2021,Masters 3,zunba,F4Q,Pacific,Flex,0.87,"astra,skye,yoru",190
2021,Masters 3,ade,CR,Pacific,Controller,0.87,"astra,viper,brimstone",118
2021,Masters 3,steel,100T,Americas,Flex,0.84,"kayo,killjoy,viper",208
2021,Masters 3,ntk,VKS,Americas,Flex,0.84,"sova,sage",131
